timestamp,txid,sender,receiver,amount
2026-09-01 10:00:00,TX001,VICTIM001,WALLET_A,2.50
2026-09-01 10:05:00,TX002,WALLET_A,WALLET_B,2.30
2026-09-01 10:07:00,TX003,WALLET_A,WALLET_C,0.15
2026-09-01 10:08:00,TX004,WALLET_A,WALLET_D,0.05
2026-09-01 10:15:00,TX005,WALLET_B,WALLET_E,2.10
2026-09-01 10:18:00,TX006,WALLET_B,WALLET_F,0.15
2026-09-01 10:20:00,TX007,WALLET_C,WALLET_E,0.12
2026-09-01 10:22:00,TX008,WALLET_D,WALLET_E,0.04
2026-09-01 10:30:00,TX009,WALLET_E,EXCHANGE_01,2.20
2026-09-01 11:00:00,TX010,WALLET_X,WALLET_Y,5.00
2026-09-01 11:10:00,TX011,WALLET_Y,WALLET_Z,4.80
2026-09-01 11:30:00,TX012,WALLET_Z,EXCHANGE_02,4.50
2026-09-01 12:00:00,TX013,WALLET_M,WALLET_N,1.20
2026-09-01 12:05:00,TX014,WALLET_N,WALLET_O,1.10
2026-09-01 12:10:00,TX015,WALLET_O,WALLET_P,1.00
